net,length_um
_0959_,244.47µm
_0172_,226.29µm
net44,187.05µm
net20,169.72µm
graphics_core.x\[4\],168.25µm
_0192_,162.21µm
net39,158.05µm
_0038_,153.54µm
net22,145.52µm
net47,145.44µm
_0449_,139.16µm
net25,139.04µm
net21,136.43µm
net28,131.06µm
net41,129.92µm
net38,129.85µm
_0481_,129.43µm
_1003_,127.78µm
net46,125.105µm
net37,122.32µm
_1036_,120.98µm
graphics_core.x\[7\],119.28µm
net43,118.12µm
net45,118.04µm
_0049_,115.86µm
_0335_,115.07µm
net31,113.06µm
net32,112.66µm
_1146_,111.97µm
_1157_,111.28µm
net24,110.45µm
_1344_,109.83µm
_0203_,109.32µm
_0743_,108.36µm
_0510_,106.8µm
graphics_core.x\[6\],105.58µm
_0511_,103.37µm
_1025_,102.86µm
_0104_,98.62µm
_0911_,94.74µm
_0909_,93.22µm
_0173_,90.56µm
net23,90.5µm
_0663_,90µm
_0604_,89.34µm
_0291_,89.28µm
_0497_,88.44µm
net27,87.66µm
net33,86.31µm
_0324_,85.9µm
graphics_core.dy\[0\],85.9µm
net34,85.88µm
_0496_,84.98µm
_1234_,84.94µm
_0357_,84.86µm
_0368_,84.78µm
_1311_,84.06µm
_0926_,83.8µm
net30,81.94µm
_0439_,81.4µm
_0500_,81.39µm
net36,81.37µm
net14,81.015µm
_0115_,80.6µm
_1201_,79.78µm
clknet_1_0__leaf_clk,79.7µm
net13,78.88µm
_0356_,77.04µm
_1245_,75.4µm
net26,73.755µm
_0499_,73.6µm
_0904_,73.58µm
_1181_,71.5µm
net2,71.5µm
_1112_,71.385µm
graphics_core.y\[2\],70.505µm
net3,70.34µm
net29,70.18µm
_0399_,70.1µm
_0066_,69.13µm
_0893_,68.88µm
_0680_,68.72µm
_0480_,68.54µm
net4,67.635µm
_1215_,67.14µm
_0824_,65.82µm
_0250_,65.32µm
_0645_,65.1µm
_0651_,65.08µm
_0738_,64.92µm
_0834_,63.955µm
_0906_,63.83µm
_0918_,63.78µm
net35,63.52µm
_0081_,63.46µm
_1300_,62.58µm
_1193_,62.17µm
_0622_,61.86µm
clknet_1_1__leaf_clk,61.66µm
_1160_,61.4µm
graphics_core.y\[5\],61.36µm
_1000_,61.3µm
_1047_,61.08µm
graphics_core.y\[3\],61.06µm
net16,61.03µm
_1068_,60.6µm
_1270_,60.56µm
_0561_,59.4µm
_0243_,59.34µm
_0825_,59.2µm
_0646_,58.92µm
_0170_,58.5µm
_1014_,58.14µm
_1267_,57.9µm
_1280_,57.76µm
_1143_,57.48µm
_0318_,56.75µm
graphics_core.x\[5\],56.1µm
_0802_,56.04µm
clk,55.89µm
net40,55.78µm
_0882_,55.01µm
_1070_,54.84µm
_0202_,54.5µm
_0194_,54.44µm
_1144_,54.2µm
_0907_,54.08µm
_1131_,53.94µm
_1058_,53.92µm
_0258_,53.68µm
_1111_,53.66µm
_0498_,53.54µm
_1355_,53.5µm
graphics_core.dx\[0\],52.2µm
_1203_,51.19µm
_1168_,51µm
_1315_,50.98µm
_0602_,50.96µm
_0124_,50.56µm
_0915_,50.3µm
_0234_,50.04µm
_0581_,49.98µm
net48,49.9µm
_1247_,49.74µm
_0044_,49.34µm
_1023_,49.16µm
_0254_,48.82µm
_0226_,48.72µm
_0119_,48.35µm
_0060_,48.18µm
_0029_,47.46µm
_1322_,47.22µm
_0135_,46.8µm
_1020_,46.64µm
_0300_,46.52µm
_1325_,46.18µm
_0149_,45.8µm
_0509_,45.43µm
_0493_,45.42µm
_1061_,45.4µm
_1231_,45.36µm
_0507_,45.34µm
_0506_,45.335µm
_0193_,45.22µm
_1333_,44.84µm
_0354_,44.8µm
_0681_,44.8µm
_0800_,44.38µm
_0159_,44.34µm
_0106_,44.33µm
graphics_core.y\[6\],43.76µm
_1183_,43.445µm
_0457_,43.4µm
_1276_,43.3µm
graphics_core.x\[2\],43.11µm
_0181_,43µm
net15,42.455µm
_0530_,42.44µm
_0118_,42.26µm
_0917_,42µm
_1178_,41.84µm
_1088_,41.68µm
_1208_,41.24µm
_0933_,40.92µm
_0722_,40.84µm
_0451_,40.74µm
_0167_,40.62µm
_0175_,39.515µm
_0292_,39.46µm
_0122_,39.28µm
_0148_,39.05µm
_0143_,39.04µm
_0546_,39.02µm
_0091_,39µm
_1110_,38.26µm
_0812_,38.12µm
_0120_,36.9µm
_1265_,36.82µm
_0209_,36.78µm
_1102_,36.56µm
_1133_,36.4µm
_0345_,36.15µm
_0094_,36.12µm
_0778_,36.02µm
_1334_,36.02µm
_0396_,35.92µm
_0478_,35.84µm
_1080_,35.84µm
_1332_,35.84µm
_0844_,35.6µm
_0502_,35.56µm
net12,35.56µm
_1314_,35.53µm
_1248_,35.46µm
_0102_,35.36µm
_0522_,35.26µm
_0075_,35.24µm
_0670_,35.04µm
net11,35µm
_0450_,34.88µm
_0420_,34.84µm
net42,34.72µm
_1188_,34.36µm
_0501_,34.3µm
