Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_355,VGND,li1,166.7500,168.6400,0.000004
FILLER_60_352,VGND,li1,165.3700,168.6400,0.000004
FILLER_60_349,VGND,li1,163.9900,168.6400,0.000004
FILLER_60_346,VGND,li1,162.6100,168.6400,0.000004
FILLER_60_343,VGND,li1,161.2300,168.6400,0.000004
FILLER_60_340,VGND,li1,159.8500,168.6400,0.000004
FILLER_60_337,VGND,li1,158.4700,168.6400,0.000004
FILLER_60_333,VGND,li1,156.6300,168.6400,0.000004
FILLER_60_330,VGND,li1,155.2500,168.6400,0.000004
FILLER_60_327,VGND,li1,153.8700,168.6400,0.000004
FILLER_60_324,VGND,li1,152.4900,168.6400,0.000004
FILLER_60_321,VGND,li1,151.1100,168.6400,0.000004
FILLER_60_318,VGND,li1,149.7300,168.6400,0.000004
FILLER_60_315,VGND,li1,148.3500,168.6400,0.000004
FILLER_60_312,VGND,li1,146.9700,168.6400,0.000004
FILLER_60_309,VGND,li1,145.5900,168.6400,0.000004
FILLER_60_305,VGND,li1,143.7500,168.6400,0.000004
FILLER_60_302,VGND,li1,142.3700,168.6400,0.000004
FILLER_60_299,VGND,li1,140.9900,168.6400,0.000004
FILLER_60_293,VGND,li1,138.2300,168.6400,0.000004
FILLER_60_290,VGND,li1,136.8500,168.6400,0.000005
FILLER_60_287,VGND,li1,135.4700,168.6400,0.000005
FILLER_60_284,VGND,li1,134.0900,168.6400,0.000006
FILLER_60_281,VGND,li1,132.7100,168.6400,0.000006
FILLER_60_277,VGND,li1,130.8700,168.6400,0.000006
FILLER_60_274,VGND,li1,129.4900,168.6400,0.000007
FILLER_60_271,VGND,li1,128.1100,168.6400,0.000008
FILLER_60_268,VGND,li1,126.7300,168.6400,0.000008
FILLER_60_265,VGND,li1,125.3500,168.6400,0.000008
FILLER_60_262,VGND,li1,123.9700,168.6400,0.000009
FILLER_60_259,VGND,li1,122.5900,168.6400,0.000009
FILLER_60_256,VGND,li1,121.2100,168.6400,0.000010
FILLER_60_253,VGND,li1,119.8300,168.6400,0.000010
FILLER_60_249,VGND,li1,117.9900,168.6400,0.000011
FILLER_60_246,VGND,li1,116.6100,168.6400,0.000011
FILLER_60_243,VGND,li1,115.2300,168.6400,0.000012
FILLER_60_240,VGND,li1,113.8500,168.6400,0.000012
FILLER_60_237,VGND,li1,112.4700,168.6400,0.000013
FILLER_60_234,VGND,li1,111.0900,168.6400,0.000013
FILLER_60_231,VGND,li1,109.7100,168.6400,0.000014
FILLER_60_228,VGND,li1,108.3300,168.6400,0.000014
FILLER_60_225,VGND,li1,106.9500,168.6400,0.000015
FILLER_60_221,VGND,li1,105.1100,168.6400,0.000016
FILLER_60_218,VGND,li1,103.7300,168.6400,0.000016
FILLER_60_215,VGND,li1,102.3500,168.6400,0.000017
FILLER_60_212,VGND,li1,100.9700,168.6400,0.000017
FILLER_60_209,VGND,li1,99.5900,168.6400,0.000017
FILLER_60_206,VGND,li1,98.2100,168.6400,0.000023
FILLER_60_203,VGND,li1,96.8300,168.6400,0.000023
FILLER_60_200,VGND,li1,95.4500,168.6400,0.000025
FILLER_60_197,VGND,li1,94.0700,168.6400,0.000027
FILLER_60_193,VGND,li1,92.2300,168.6400,0.000028
FILLER_60_190,VGND,li1,90.8500,168.6400,0.000028
FILLER_60_187,VGND,li1,89.4700,168.6400,0.000029
FILLER_60_184,VGND,li1,88.0900,168.6400,0.000029
FILLER_60_181,VGND,li1,86.7100,168.6400,0.000029
FILLER_60_178,VGND,li1,85.3300,168.6400,0.000029
FILLER_60_175,VGND,li1,83.9500,168.6400,0.000029
FILLER_60_172,VGND,li1,82.5700,168.6400,0.000029
FILLER_60_169,VGND,li1,81.1900,168.6400,0.000029
FILLER_60_165,VGND,li1,79.3500,168.6400,0.000029
