Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_355,VPWR,li1,166.7500,171.3600,1.800000
FILLER_60_352,VPWR,li1,165.3700,171.3600,1.800000
FILLER_60_349,VPWR,li1,163.9900,171.3600,1.800000
FILLER_60_346,VPWR,li1,162.6100,171.3600,1.800000
FILLER_60_343,VPWR,li1,161.2300,171.3600,1.800000
FILLER_60_340,VPWR,li1,159.8500,171.3600,1.800000
FILLER_60_337,VPWR,li1,158.4700,171.3600,1.800000
FILLER_60_333,VPWR,li1,156.6300,171.3600,1.800000
FILLER_60_330,VPWR,li1,155.2500,171.3600,1.800000
FILLER_60_327,VPWR,li1,153.8700,171.3600,1.800000
FILLER_60_324,VPWR,li1,152.4900,171.3600,1.800000
FILLER_60_321,VPWR,li1,151.1100,171.3600,1.800000
FILLER_60_318,VPWR,li1,149.7300,171.3600,1.800000
FILLER_60_315,VPWR,li1,148.3500,171.3600,1.800000
FILLER_60_312,VPWR,li1,146.9700,171.3600,1.800000
FILLER_60_309,VPWR,li1,145.5900,171.3600,1.800000
FILLER_60_305,VPWR,li1,143.7500,171.3600,1.800000
FILLER_60_302,VPWR,li1,142.3700,171.3600,1.800000
FILLER_60_299,VPWR,li1,140.9900,171.3600,1.800000
FILLER_60_293,VPWR,li1,138.2300,171.3600,1.800000
FILLER_60_290,VPWR,li1,136.8500,171.3600,1.800000
FILLER_60_287,VPWR,li1,135.4700,171.3600,1.800000
FILLER_60_284,VPWR,li1,134.0900,171.3600,1.800000
FILLER_60_281,VPWR,li1,132.7100,171.3600,1.800000
FILLER_60_277,VPWR,li1,130.8700,171.3600,1.800000
FILLER_60_274,VPWR,li1,129.4900,171.3600,1.800000
FILLER_60_271,VPWR,li1,128.1100,171.3600,1.800000
FILLER_60_268,VPWR,li1,126.7300,171.3600,1.800000
FILLER_60_265,VPWR,li1,125.3500,171.3600,1.800000
FILLER_60_262,VPWR,li1,123.9700,171.3600,1.800000
FILLER_60_259,VPWR,li1,122.5900,171.3600,1.800000
FILLER_60_256,VPWR,li1,121.2100,171.3600,1.800000
FILLER_60_253,VPWR,li1,119.8300,171.3600,1.800000
FILLER_60_249,VPWR,li1,117.9900,171.3600,1.800000
FILLER_60_246,VPWR,li1,116.6100,171.3600,1.800000
FILLER_60_243,VPWR,li1,115.2300,171.3600,1.800000
FILLER_60_240,VPWR,li1,113.8500,171.3600,1.800000
FILLER_60_237,VPWR,li1,112.4700,171.3600,1.800000
FILLER_60_234,VPWR,li1,111.0900,171.3600,1.800000
FILLER_60_231,VPWR,li1,109.7100,171.3600,1.800000
FILLER_60_228,VPWR,li1,108.3300,171.3600,1.800000
FILLER_60_225,VPWR,li1,106.9500,171.3600,1.800000
FILLER_60_221,VPWR,li1,105.1100,171.3600,1.800000
FILLER_60_218,VPWR,li1,103.7300,171.3600,1.800000
FILLER_60_215,VPWR,li1,102.3500,171.3600,1.800000
FILLER_60_212,VPWR,li1,100.9700,171.3600,1.800000
FILLER_60_209,VPWR,li1,99.5900,171.3600,1.800000
FILLER_60_206,VPWR,li1,98.2100,171.3600,1.800000
FILLER_60_203,VPWR,li1,96.8300,171.3600,1.800000
FILLER_60_200,VPWR,li1,95.4500,171.3600,1.800000
FILLER_60_197,VPWR,li1,94.0700,171.3600,1.800000
FILLER_60_193,VPWR,li1,92.2300,171.3600,1.800000
FILLER_60_190,VPWR,li1,90.8500,171.3600,1.800000
FILLER_60_187,VPWR,li1,89.4700,171.3600,1.800000
FILLER_60_184,VPWR,li1,88.0900,171.3600,1.800000
FILLER_60_181,VPWR,li1,86.7100,171.3600,1.800000
FILLER_60_178,VPWR,li1,85.3300,171.3600,1.800000
FILLER_60_175,VPWR,li1,83.9500,171.3600,1.800000
FILLER_60_172,VPWR,li1,82.5700,171.3600,1.800000
FILLER_60_169,VPWR,li1,81.1900,171.3600,1.800000
FILLER_60_165,VPWR,li1,79.3500,171.3600,1.800000
FILLER_60_162,VPWR,li1,77.9700,171.3600,1.800000
FILLER_60_159,VPWR,li1,76.5900,171.3600,1.800000
FILLER_60_156,VPWR,li1,75.2100,171.3600,1.800000
FILLER_60_153,VPWR,li1,73.8300,171.3600,1.800000
FILLER_60_150,VPWR,li1,72.4500,171.3600,1.800000
FILLER_60_147,VPWR,li1,71.0700,171.3600,1.800000
FILLER_60_144,VPWR,li1,69.6900,171.3600,1.800000
FILLER_60_141,VPWR,li1,68.3100,171.3600,1.800000
FILLER_60_137,VPWR,li1,66.4700,171.3600,1.800000
FILLER_60_134,VPWR,li1,65.0900,171.3600,1.800000
FILLER_60_131,VPWR,li1,63.7100,171.3600,1.800000
FILLER_60_128,VPWR,li1,62.3300,171.3600,1.800000
FILLER_60_125,VPWR,li1,60.9500,171.3600,1.800000
FILLER_60_122,VPWR,li1,59.5700,171.3600,1.800000
FILLER_60_119,VPWR,li1,58.1900,171.3600,1.800000
FILLER_60_116,VPWR,li1,56.8100,171.3600,1.800000
FILLER_60_113,VPWR,li1,55.4300,171.3600,1.800000
FILLER_60_109,VPWR,li1,53.5900,171.3600,1.800000
FILLER_60_106,VPWR,li1,52.2100,171.3600,1.800000
FILLER_60_103,VPWR,li1,50.8300,171.3600,1.800000
FILLER_60_100,VPWR,li1,49.4500,171.3600,1.800000
FILLER_60_97,VPWR,li1,48.0700,171.3600,1.800000
FILLER_60_94,VPWR,li1,46.6900,171.3600,1.800000
FILLER_60_91,VPWR,li1,45.3100,171.3600,1.800000
FILLER_60_88,VPWR,li1,43.9300,171.3600,1.800000
FILLER_60_85,VPWR,li1,42.5500,171.3600,1.800000
FILLER_60_81,VPWR,li1,40.7100,171.3600,1.800000
FILLER_60_78,VPWR,li1,39.3300,171.3600,1.800000
FILLER_60_75,VPWR,li1,37.9500,171.3600,1.800000
FILLER_60_72,VPWR,li1,36.5700,171.3600,1.800000
FILLER_60_69,VPWR,li1,35.1900,171.3600,1.800000
FILLER_60_66,VPWR,li1,33.8100,171.3600,1.800000
FILLER_60_63,VPWR,li1,32.4300,171.3600,1.800000
FILLER_60_60,VPWR,li1,31.0500,171.3600,1.800000
FILLER_60_57,VPWR,li1,29.6700,171.3600,1.800000
FILLER_60_53,VPWR,li1,27.8300,171.3600,1.800000
FILLER_60_50,VPWR,li1,26.4500,171.3600,1.800000
FILLER_60_47,VPWR,li1,25.0700,171.3600,1.800000
FILLER_60_44,VPWR,li1,23.6900,171.3600,1.800000
FILLER_60_41,VPWR,li1,22.3100,171.3600,1.800000
FILLER_60_38,VPWR,li1,20.9300,171.3600,1.800000
FILLER_60_35,VPWR,li1,19.5500,171.3600,1.800000
FILLER_60_32,VPWR,li1,18.1700,171.3600,1.800000
FILLER_60_29,VPWR,li1,16.7900,171.3600,1.800000
FILLER_60_27,VPWR,li1,15.4100,171.3600,1.800000
FILLER_60_24,VPWR,li1,14.4900,171.3600,1.800000
FILLER_60_21,VPWR,li1,13.1100,171.3600,1.800000
FILLER_60_18,VPWR,li1,11.7300,171.3600,1.800000
FILLER_60_15,VPWR,li1,10.3500,171.3600,1.800000
FILLER_60_12,VPWR,li1,8.9700,171.3600,1.800000
FILLER_60_9,VPWR,li1,7.5900,171.3600,1.800000
FILLER_60_6,VPWR,li1,6.2100,171.3600,1.800000
FILLER_60_3,VPWR,li1,4.8300,171.3600,1.800000
FILLER_59_355,VPWR,li1,166.7500,165.9200,1.799994
FILLER_59_352,VPWR,li1,165.3700,165.9200,1.799994
FILLER_59_349,VPWR,li1,163.9900,165.9200,1.799994
FILLER_59_346,VPWR,li1,162.6100,165.9200,1.799994
FILLER_59_343,VPWR,li1,161.2300,165.9200,1.799994
FILLER_59_340,VPWR,li1,159.8500,165.9200,1.799994
FILLER_59_337,VPWR,li1,158.4700,165.9200,1.799994
FILLER_59_335,VPWR,li1,157.0900,165.9200,1.799994
FILLER_59_332,VPWR,li1,156.1700,165.9200,1.799994
FILLER_59_329,VPWR,li1,154.7900,165.9200,1.799994
FILLER_59_326,VPWR,li1,153.4100,165.9200,1.799994
FILLER_59_323,VPWR,li1,152.0300,165.9200,1.799994
FILLER_59_320,VPWR,li1,150.6500,165.9200,1.799994
FILLER_59_317,VPWR,li1,149.2700,165.9200,1.799994
FILLER_59_314,VPWR,li1,147.8900,165.9200,1.799994
FILLER_59_311,VPWR,li1,146.5100,165.9200,1.799994
FILLER_59_308,VPWR,li1,145.1300,165.9200,1.799994
FILLER_59_305,VPWR,li1,143.7500,165.9200,1.799994
FILLER_59_302,VPWR,li1,142.3700,165.9200,1.799994
FILLER_59_299,VPWR,li1,140.9900,165.9200,1.799994
FILLER_59_296,VPWR,li1,139.6100,165.9200,1.799994
FILLER_59_293,VPWR,li1,138.2300,165.9200,1.799994
FILLER_59_290,VPWR,li1,136.8500,165.9200,1.799994
FILLER_59_287,VPWR,li1,135.4700,165.9200,1.799994
FILLER_59_284,VPWR,li1,134.0900,165.9200,1.799993
FILLER_59_281,VPWR,li1,132.7100,165.9200,1.799993
FILLER_59_279,VPWR,li1,131.3300,165.9200,1.799992
FILLER_59_276,VPWR,li1,130.4100,165.9200,1.799991
FILLER_59_273,VPWR,li1,129.0300,165.9200,1.799991
FILLER_59_270,VPWR,li1,127.6500,165.9200,1.799990
FILLER_59_267,VPWR,li1,126.2700,165.9200,1.799989
FILLER_59_264,VPWR,li1,124.8900,165.9200,1.799989
FILLER_59_261,VPWR,li1,123.5100,165.9200,1.799988
FILLER_59_258,VPWR,li1,122.1300,165.9200,1.799987
FILLER_59_255,VPWR,li1,120.7500,165.9200,1.799987
FILLER_59_252,VPWR,li1,119.3700,165.9200,1.799986
FILLER_59_249,VPWR,li1,117.9900,165.9200,1.799984
FILLER_59_246,VPWR,li1,116.6100,165.9200,1.799984
FILLER_59_243,VPWR,li1,115.2300,165.9200,1.799983
FILLER_59_240,VPWR,li1,113.8500,165.9200,1.799983
FILLER_59_237,VPWR,li1,112.4700,165.9200,1.799981
FILLER_59_234,VPWR,li1,111.0900,165.9200,1.799981
FILLER_59_231,VPWR,li1,109.7100,165.9200,1.799980
FILLER_59_228,VPWR,li1,108.3300,165.9200,1.799980
FILLER_59_225,VPWR,li1,106.9500,165.9200,1.799978
FILLER_59_222,VPWR,li1,105.3400,165.9200,1.799978
FILLER_59_219,VPWR,li1,104.1900,165.9200,1.799977
FILLER_59_216,VPWR,li1,102.8100,165.9200,1.799977
FILLER_59_213,VPWR,li1,101.4300,165.9200,1.799975
FILLER_59_186,VPWR,li1,88.7800,165.9200,1.799961
FILLER_59_176,VPWR,li1,84.1800,165.9200,1.799960
FILLER_59_157,VPWR,li1,75.4400,165.9200,1.799961
FILLER_59_153,VPWR,li1,73.3700,165.9200,1.799962
FILLER_59_150,VPWR,li1,72.4500,165.9200,1.799962
FILLER_59_135,VPWR,li1,65.5500,165.9200,1.799969
FILLER_59_132,VPWR,li1,64.1700,165.9200,1.799969
FILLER_59_123,VPWR,li1,59.5700,165.9200,1.799980
FILLER_59_120,VPWR,li1,58.6500,165.9200,1.799980
FILLER_59_117,VPWR,li1,57.2700,165.9200,1.799979
FILLER_59_110,VPWR,li1,53.8200,165.9200,1.799980
FILLER_59_102,VPWR,li1,49.9100,165.9200,1.799981
FILLER_59_99,VPWR,li1,48.9900,165.9200,1.799981
FILLER_59_96,VPWR,li1,47.6100,165.9200,1.799982
FILLER_59_93,VPWR,li1,46.2300,165.9200,1.799983
FILLER_59_90,VPWR,li1,44.8500,165.9200,1.799983
FILLER_59_87,VPWR,li1,43.4700,165.9200,1.799984
FILLER_59_84,VPWR,li1,42.0900,165.9200,1.799985
FILLER_59_81,VPWR,li1,40.7100,165.9200,1.799985
FILLER_59_78,VPWR,li1,39.3300,165.9200,1.799986
FILLER_59_75,VPWR,li1,37.9500,165.9200,1.799987
FILLER_59_72,VPWR,li1,36.5700,165.9200,1.799987
FILLER_59_69,VPWR,li1,35.1900,165.9200,1.799988
FILLER_59_66,VPWR,li1,33.8100,165.9200,1.799989
FILLER_59_63,VPWR,li1,32.4300,165.9200,1.799989
FILLER_59_60,VPWR,li1,31.0500,165.9200,1.799990
FILLER_59_57,VPWR,li1,29.6700,165.9200,1.799990
FILLER_59_54,VPWR,li1,28.0600,165.9200,1.799991
FILLER_59_51,VPWR,li1,26.9100,165.9200,1.799991
FILLER_59_48,VPWR,li1,25.5300,165.9200,1.799992
FILLER_59_45,VPWR,li1,24.1500,165.9200,1.799993
FILLER_59_42,VPWR,li1,22.7700,165.9200,1.799993
FILLER_59_39,VPWR,li1,21.3900,165.9200,1.799994
FILLER_59_36,VPWR,li1,20.0100,165.9200,1.799995
FILLER_59_33,VPWR,li1,18.6300,165.9200,1.799995
FILLER_59_30,VPWR,li1,17.2500,165.9200,1.799995
FILLER_59_27,VPWR,li1,15.8700,165.9200,1.799995
FILLER_59_24,VPWR,li1,14.4900,165.9200,1.799995
FILLER_59_21,VPWR,li1,13.1100,165.9200,1.799995
FILLER_59_18,VPWR,li1,11.7300,165.9200,1.799995
FILLER_59_15,VPWR,li1,10.3500,165.9200,1.799995
FILLER_59_12,VPWR,li1,8.9700,165.9200,1.799995
FILLER_59_9,VPWR,li1,7.5900,165.9200,1.799995
FILLER_59_6,VPWR,li1,6.2100,165.9200,1.799995
FILLER_58_360,VPWR,li1,168.5900,165.9200,1.799994
FILLER_58_357,VPWR,li1,167.6700,165.9200,1.799994
FILLER_58_354,VPWR,li1,166.2900,165.9200,1.799994
FILLER_58_351,VPWR,li1,164.9100,165.9200,1.799994
FILLER_58_348,VPWR,li1,163.5300,165.9200,1.799994
FILLER_58_345,VPWR,li1,162.1500,165.9200,1.799994
FILLER_58_342,VPWR,li1,160.7700,165.9200,1.799994
FILLER_58_339,VPWR,li1,159.3900,165.9200,1.799994
FILLER_58_336,VPWR,li1,158.0100,165.9200,1.799994
FILLER_58_333,VPWR,li1,156.6300,165.9200,1.799994
FILLER_58_330,VPWR,li1,155.2500,165.9200,1.799994
FILLER_58_327,VPWR,li1,153.8700,165.9200,1.799994
FILLER_58_324,VPWR,li1,152.4900,165.9200,1.799994
FILLER_58_321,VPWR,li1,151.1100,165.9200,1.799994
FILLER_58_318,VPWR,li1,149.7300,165.9200,1.799994
FILLER_58_315,VPWR,li1,148.3500,165.9200,1.799994
FILLER_58_312,VPWR,li1,146.9700,165.9200,1.799994
FILLER_58_309,VPWR,li1,145.5900,165.9200,1.799994
FILLER_58_307,VPWR,li1,144.2100,165.9200,1.799994
FILLER_58_304,VPWR,li1,143.2900,165.9200,1.799994
FILLER_58_301,VPWR,li1,141.9100,165.9200,1.799994
FILLER_58_298,VPWR,li1,140.5300,165.9200,1.799994
FILLER_58_295,VPWR,li1,139.1500,165.9200,1.799994
FILLER_58_292,VPWR,li1,137.7700,165.9200,1.799994
FILLER_58_289,VPWR,li1,136.3900,165.9200,1.799994
FILLER_58_286,VPWR,li1,135.0100,165.9200,1.799994
FILLER_58_283,VPWR,li1,133.6300,165.9200,1.799993
FILLER_58_280,VPWR,li1,132.2500,165.9200,1.799992
FILLER_58_277,VPWR,li1,130.8700,165.9200,1.799992
FILLER_58_274,VPWR,li1,129.4900,165.9200,1.799991
FILLER_58_271,VPWR,li1,128.1100,165.9200,1.799990
FILLER_58_268,VPWR,li1,126.7300,165.9200,1.799990
FILLER_58_265,VPWR,li1,125.3500,165.9200,1.799989
FILLER_58_262,VPWR,li1,123.9700,165.9200,1.799988
FILLER_58_259,VPWR,li1,122.5900,165.9200,1.799988
FILLER_58_256,VPWR,li1,121.2100,165.9200,1.799987
FILLER_58_253,VPWR,li1,119.8300,165.9200,1.799986
FILLER_58_249,VPWR,li1,117.9900,165.9200,1.799984
FILLER_58_246,VPWR,li1,116.6100,165.9200,1.799984
FILLER_58_243,VPWR,li1,115.2300,165.9200,1.799983
FILLER_58_240,VPWR,li1,113.8500,165.9200,1.799983
FILLER_58_237,VPWR,li1,112.4700,165.9200,1.799981
FILLER_58_234,VPWR,li1,111.0900,165.9200,1.799981
FILLER_58_231,VPWR,li1,109.7100,165.9200,1.799980
FILLER_58_228,VPWR,li1,108.3300,165.9200,1.799980
FILLER_58_225,VPWR,li1,106.9500,165.9200,1.799978
FILLER_58_222,VPWR,li1,105.5700,165.9200,1.799978
FILLER_58_219,VPWR,li1,104.1900,165.9200,1.799977
FILLER_58_216,VPWR,li1,102.8100,165.9200,1.799977
FILLER_58_213,VPWR,li1,101.4300,165.9200,1.799975
FILLER_58_210,VPWR,li1,100.0500,165.9200,1.799975
FILLER_58_200,VPWR,li1,95.4500,165.9200,1.799971
FILLER_58_197,VPWR,li1,94.0700,165.9200,1.799968
FILLER_58_194,VPWR,li1,92.4600,165.9200,1.799965
FILLER_58_186,VPWR,li1,89.0100,165.9200,1.799962
FILLER_58_180,VPWR,li1,86.2500,165.9200,1.799960
FILLER_58_177,VPWR,li1,84.8700,165.9200,1.799960
FILLER_58_174,VPWR,li1,83.4900,165.9200,1.799960
FILLER_58_171,VPWR,li1,82.1100,165.9200,1.799960
FILLER_58_168,VPWR,li1,80.7300,165.9200,1.799960
FILLER_58_147,VPWR,li1,71.0700,165.9200,1.799964
FILLER_58_144,VPWR,li1,69.6900,165.9200,1.799964
FILLER_58_141,VPWR,li1,68.3100,165.9200,1.799966
FILLER_58_138,VPWR,li1,66.7000,165.9200,1.799966
FILLER_58_130,VPWR,li1,62.7900,165.9200,1.799973
FILLER_58_127,VPWR,li1,61.8700,165.9200,1.799973
FILLER_58_94,VPWR,li1,46.6900,165.9200,1.799982
FILLER_58_91,VPWR,li1,45.3100,165.9200,1.799983
FILLER_58_88,VPWR,li1,43.9300,165.9200,1.799984
FILLER_58_85,VPWR,li1,42.5500,165.9200,1.799984
FILLER_58_83,VPWR,li1,41.1700,165.9200,1.799985
FILLER_58_80,VPWR,li1,40.2500,165.9200,1.799986
FILLER_58_77,VPWR,li1,38.8700,165.9200,1.799986
FILLER_58_74,VPWR,li1,37.4900,165.9200,1.799987
FILLER_58_71,VPWR,li1,36.1100,165.9200,1.799988
FILLER_58_68,VPWR,li1,34.7300,165.9200,1.799988
FILLER_58_65,VPWR,li1,33.3500,165.9200,1.799989
FILLER_58_62,VPWR,li1,31.9700,165.9200,1.799990
FILLER_58_59,VPWR,li1,30.5900,165.9200,1.799990
FILLER_58_56,VPWR,li1,29.2100,165.9200,1.799990
FILLER_58_53,VPWR,li1,27.8300,165.9200,1.799991
FILLER_58_50,VPWR,li1,26.4500,165.9200,1.799992
FILLER_58_47,VPWR,li1,25.0700,165.9200,1.799992
FILLER_58_44,VPWR,li1,23.6900,165.9200,1.799993
FILLER_58_41,VPWR,li1,22.3100,165.9200,1.799994
FILLER_58_38,VPWR,li1,20.9300,165.9200,1.799994
FILLER_58_35,VPWR,li1,19.5500,165.9200,1.799995
